,COMBINED_C,WC2_0_BIO_10M_01,WC2_0_BIO_10M_04,WC2_0_BIO_10M_06,WC2_0_BIO_10M_11,WC2_0_BIO_10M_13,WC2_0_BIO_10M_16,PREDSEQ,MIN_INT,MAX_INT,PREDINT_WIDTH
0,79.0,1.733135430763165,792.5810706058995,-15.461999893188475,-8.098041648666062,63.0,169.0,0.5706267696279911,-1.129263639450073,1.3224939443203128,2.4517575837703856
2,2.0,-1.8988230104247732,1070.3021826887898,-22.150999069213867,-14.713083346684776,99.0,247.0,-0.154719749371451,-1.0529741048812868,1.3201548001208714,2.373128905002158
3,108.0,4.2803124723335095,762.3535818434532,-11.677499771118164,-4.899666652083396,135.0,395.0,1.5637635720826444,-0.024460542947054003,2.1638822555541988,2.1883427985012527
4,0.0,-1.554020918905735,1300.2776593375893,-27.56125068664551,-18.078041871388756,93.0,229.0,-0.16767024034580238,-1.0529741048812868,1.334081506168806,2.387055611050093
6,86.0,1.7916562582055733,852.7837460525806,-16.350500106811527,-8.971708357334137,65.0,176.0,0.8980377531221412,-0.9394373624933514,1.304762125015259,2.2441994875086104
7,53.0,3.4103958010673523,806.3847639525873,-14.331500053405762,-6.678291718165081,125.0,351.0,0.237521126429509,-1.0529741048812868,1.9710867404937742,3.024060845375061
12,68.0,2.6269686445593834,946.2341015651459,-16.26650047302246,-9.105041841665905,84.0,223.0,0.13384135980604558,-1.0529741048812868,1.344442367553711,2.3974164724349976
15,0.0,-0.209624952326218,1272.4323922475955,-26.16699981689453,-16.716333389282227,105.0,260.0,-0.1401586232876574,-1.0529741048812868,1.3395209583958811,2.3924950632771678
16,0.0,-1.9210207710663483,1021.647472720316,-21.569250106811523,-14.689583222071327,70.0,187.0,-0.27917174377019144,-1.0529741048812868,1.334081506168806,2.387055611050093
17,107.0,0.501020920773347,1043.466072833685,-19.86224937438965,-12.129499673843384,108.0,270.0,1.1726842571332325,-1.0529741048812868,2.1638822555541988,3.216856360435486
20,147.0,3.5032977346951766,595.1141854762536,-8.231155395507812,-3.278685059398413,283.0,759.0,0.9796978205082648,0.09823170348049301,1.9740938522378775,1.8758621487573846
21,30.0,3.840229216652612,756.0136207962913,-12.33275032043457,-5.4084999424715825,50.0,142.0,-0.4629843548092079,-1.048171997070313,1.3224939443203128,2.3706659413906257
22,0.0,-0.5273125171661379,1255.2736056090143,-25.72224998474121,-16.627416769663494,111.0,275.0,-0.08094876937006794,-1.0529741048812868,1.5239049196243293,2.576879024505616
23,42.0,3.0879063072303934,847.3246644189447,-16.36574935913086,-7.5755414962768555,69.0,185.0,0.22390933198947244,-1.0529741048812868,1.334081506168806,2.387055611050093
26,90.0,1.477760386963685,890.9884954849858,-16.994499206542965,-9.57699998219808,70.0,194.0,0.8817659626528072,-1.0529741048812868,1.5664108335971831,2.61938493847847
27,0.0,1.161718722432852,862.0985426981883,-17.45025062561035,-9.486916681130726,81.0,225.0,-0.29224679834653094,-1.0529741048812868,1.334081506168806,2.387055611050093
29,7.0,2.7265625239039455,911.5370198238396,-16.927749633789066,-9.05049991607666,55.0,156.0,-0.23091563462139816,-1.0529741048812868,1.334081506168806,2.387055611050093
31,56.0,1.430958269163966,755.90701068338,-14.048749923706055,-7.651208440462749,132.0,357.0,0.030659181349999676,-1.0529741048812868,1.9710867404937742,3.024060845375061
32,0.0,-0.020520833631357,896.3804940682594,-19.04874992370605,-11.135416587193806,71.0,205.0,-0.2915432678981774,-1.0529741048812868,1.334081506168806,2.387055611050093
33,123.0,6.963049100091059,387.49999581772107,0.29341086745262107,2.987144673864047,378.0,1046.0,2.0182154559444943,-1.0530859678983686,4.547909461311494,5.6009954292098625
34,165.0,1.9622916976610818,865.1879932713284,-17.097999572753903,-9.04291664560636,66.0,174.0,1.0691452437585813,-0.813949384064581,2.248010678489604,3.061960062554185
39,0.0,-0.888416697581609,1382.3990851625488,-28.489749908447266,-18.715791702270508,92.0,224.0,-0.17359073461322647,-1.0529741048812868,1.3395209583958811,2.3924950632771678
40,229.0,2.540447879582644,926.9621076810531,-16.947500228881836,-9.165083428223928,71.0,204.0,0.8899360666590188,-1.0529741048812868,2.2747023548829652,3.327676459764252
41,60.0,4.75706257733206,840.8084278459978,-13.99899959564209,-5.76491654664278,52.0,136.0,0.42302988841719524,-1.0529741048812868,1.344442367553711,2.3974164724349976
42,168.0,-1.3720208406448358,1437.3690932677857,-30.18824958801269,-20.236666520436607,95.0,233.0,1.3788687787660632,-0.9394373624933514,2.29885196685791,3.238289329351262
43,83.0,1.575864493846893,898.8498822180818,-17.489999771118164,-9.877041737238564,56.0,158.0,0.6985127832163448,-1.129263639450073,1.304762125015259,2.434025764465332
