OBJECTID,canada_points,X,Y,bc_forst_carb,wc2_0_bio_10m_01,wc2_0_bio_10m_04,wc2_0_bio_10m_06,wc2_0_bio_10m_11,wc2_0_bio_10m_13,wc2_0_bio_10m_16
1,0,-126.278155097766884,54.570529130769238,79.000000000000000,1.733135430763165,792.581070605899527,-15.461999893188477,-8.098041648666063,63.000000000000000,169.000000000000000
2,1,-121.427420405873818,52.992786277197652,,1.117322886983554,742.389008197908424,-14.026000022888184,-7.720958391825358,102.000000000000000,276.000000000000000
3,2,-125.244494255274560,59.815349716207422,2.000000000000000,-1.898823010424773,1070.302182688789799,-22.150999069213867,-14.713083346684774,99.000000000000000,247.000000000000000
4,3,-117.371742990917141,49.718852103681371,108.000000000000000,4.280312472333510,762.353581843453298,-11.677499771118164,-4.899666652083397,135.000000000000000,395.000000000000000
5,4,-121.627046563502788,59.058308471736815,0.000000000000000,-1.554020918905735,1300.277659337589284,-27.561250686645508,-18.078041871388752,93.000000000000000,229.000000000000000
6,5,-123.698397292813056,48.539142612657052,,7.869812543193500,534.637808166471473,-3.938250064849854,1.743916630744934,280.000000000000000,833.000000000000000
7,6,-124.895639976352442,54.216070848136383,86.000000000000000,1.791656258205573,852.783746052580454,-16.350500106811523,-8.971708357334137,65.000000000000000,176.000000000000000
8,7,-119.341731430671416,51.736842238781691,53.000000000000000,3.410395801067352,806.384763952587264,-14.331500053405762,-6.678291718165080,125.000000000000000,351.000000000000000
9,8,-122.136245016212996,54.171445577375593,,3.409666693458954,906.899854858287881,-16.163749694824219,-8.077333266536394,95.000000000000000,260.000000000000000
10,9,-126.614496940629081,54.045390163085592,,2.599281147122383,778.185303459415195,-14.616250038146973,-7.082458436489105,65.000000000000000,190.000000000000000
11,10,-133.380007443260581,58.548564528912479,,-0.018270815412203,808.499724532069990,-16.635749816894531,-9.618958234786987,187.000000000000000,478.000000000000000
12,11,-124.185086575063224,56.052631651843484,,1.771718835458159,998.226050358354883,-19.764499664306641,-11.141499876976013,64.000000000000000,177.000000000000000
13,12,-120.498442973637594,55.654791550285850,68.000000000000000,2.626968644559383,946.234101565145920,-16.266500473022461,-9.105041841665903,84.000000000000000,223.000000000000000
14,13,-127.606774318805648,53.067029645618341,,3.909333335546156,641.699521631119637,-9.809000015258789,-3.742833327502012,338.000000000000000,963.000000000000000
15,14,-129.740274544799405,56.032454394028328,,-0.143864557147026,703.608004207611430,-13.036499977111816,-7.648083329200745,209.000000000000000,582.000000000000000
16,15,-122.757642536445957,58.297752498321827,0.000000000000000,-0.209624952326218,1272.432392247595544,-26.166999816894531,-16.716333389282227,105.000000000000000,260.000000000000000
17,16,-128.539539419636981,59.285199729179240,0.000000000000000,-1.921020771066348,1021.647472720316159,-21.569250106811523,-14.689583222071329,70.000000000000000,187.000000000000000
18,17,-122.443303390470533,58.161971739949941,107.000000000000000,0.501020920773347,1043.466072833685303,-19.862249374389648,-12.129499673843384,108.000000000000000,270.000000000000000
19,18,-125.469351569508120,59.712421063538272,,-2.901520688707630,1042.844587879418214,-21.924999237060547,-15.077541351318359,100.000000000000000,252.000000000000000
20,19,-129.255352560641796,56.780454510762738,,-1.502145891388257,815.407718134021707,-17.564250946044922,-11.012541850407919,120.000000000000000,334.000000000000000
21,20,-129.985657667575310,55.380634313354328,147.000000000000000,3.503297734695176,595.114185476253510,-8.231155395507813,-3.278685059398413,283.000000000000000,759.000000000000000
22,21,-120.816644855049333,50.181306672968788,30.000000000000000,3.840229216652612,756.013620796291434,-12.332750320434570,-5.408499942471583,50.000000000000000,142.000000000000000
